-- RU-RU vocabulary file for the WORD SHOT game http://undrev.com/wordshot/
-- Contributors/credits: Undrev, ...
--
-- Some statistics (word's length : count; total words)
-- 3 :  62
-- 4 :  171
-- 5 :  225
-- 6 :  196
-- 7 :  211
-- 8 :  180
-- 9 :  129
-- 10 :  115
-- 11 :  89
-- 12 :  81
-- 13 :  49
-- TOTAL:  1508
фон = фон
фонтан = фонтан
форма = форма
фортификация = фортификация
фотография = фотография
фрагмент = фрагмент
фрагментация = фрагментация
фундамент = фундамент
фургон = фургон

характер = характер
хижина = хижина
хитрость = хитрость
хлеб = хлеб
ход = ход
хозяин = хозяин
хозяйка = хозяйка
холодильник = холодильник
холостяк = холостяк
хомяк = хомяк
хранитель = хранитель

цвет = цвет
цветение = цветение
цветоводство = цветоводство
целостность = целостность
цель = цель
цена = цена
ценность = ценность
центр = центр
церковь = церковь
цивилизация = цивилизация
цитата = цитата
цифра = цифра

чайник = чайник
час = час
часть = часть
чаша = чаша
чашка = чашка
чек = чек
человек = человек
человечество = человечество
челюсть = челюсть
чемпион = чемпион
черника = черника
чернила = чернила
черновик = черновик
честность = честность
честолюбие = честолюбие
четверть = четверть
чин = чин
число = число
чувство = чувство
чудо = чудо

шаблон = шаблон
шаг = шаг
шанс = шанс
шар = шар
шарнир = шарнир
шахта = шахта
швабра = швабра
шедевр = шедевр
шеф = шеф
шефство = шефство
шея = шея
шишка = шишка
шкала = шкала
школа = школа
шляпа = шляпа
шок = шок
шоссе = шоссе
шоу = шоу
штамп = штамп
шторм = шторм
штрейкбрехер = штрейкбрехер
штурман = штурман
шум = шум
шутка = шутка

щедрость = щедрость
щека = щека
щенок = щенок
щипок = щипок
щипцы = щипцы
щётка = щётка

эвакуация = эвакуация
экзамен = экзамен
экскурсия = экскурсия
эксперимент = эксперимент
эксплуатация = эксплуатация
элегантность = элегантность
эльф = эльф
эмоция = эмоция
энергия = энергия
энтузиаст = энтузиаст
энциклопедия = энциклопедия
эпиграф = эпиграф
эпоха = эпоха
эра = эра
эрудиция = эрудиция
эстет = эстет
эстетика = эстетика
этаж = этаж
эффект = эффект
эффективность = эффективность

юбилей = юбилей
юбка = юбка
ювелир = ювелир
юнец = юнец
юноша = юноша

явление = явление
ядро = ядро
язык = язык
языковедение = языковедение
яйцо = яйцо
яма = яма
ярлык = ярлык
яхта = яхта
ящерица = ящерица

