-- RU-EN vocabulary file for the WORD SHOT game http://undrev.com/wordshot/
-- Contributors/credits: Undrev, ...
--
-- Some statistics (word's length : count; total words)
-- 3 :  62
-- 4 :  171
-- 5 :  225
-- 6 :  196
-- 7 :  211
-- 8 :  180
-- 9 :  129
-- 10 :  115
-- 11 :  89
-- 12 :  81
-- 13 :  49
-- TOTAL:  1508
процент = percentage
процесс = process
прут = rod
прыжок = jump
пряжа = yarn
психолог = psychologist
птица = bird
публика = public
публикация = publication
пупок = umbilicus
пустота = void
путешествие = travel, journey
путь = way
пчела = bee
пшеница = wheat
пьеса = play
пятно = spot

работа = work, job
равенство = equality
равновесие = balance
радио = radio
радиовещание = broadcasting
радость = joy
развлечение = entertainment
разговор = conversation
разложение = decomposition
размер = size
размещение = accommodation
размыкание = disconnection
разница = difference
разногласие = issue
разнообразие = variety
разрешение = permission, authorization
разумность = rationality
район = district
рамка = frame
раса = race
раскопки = dig
расписание = schedule, timetable
расположение = position, arrangement
распределение = allocation, dispensation
расслабление = relaxation
расследование = investigation
рассмотрение = consideration
расстояние = distance
растение = plant
реакция = reaction
ребро = rib
ребёнок = child
реверберация = reverberation
регистратура = reception
регистрация = registration
регулировка = adjustment
резиденция = residence
результат = result
реклама = advertisement
рекорд = record
реставрация = restoration
ретроспектива = retrospection
реформа = reformation
речь = speech
решение = decision
риск = risk
рисование = drawing
род = kin
родственник = relative
родство = relationship
рождение = birth
рождество = xmas
рожь = rye
роса = dew
роскошь = luxury
рот = mouth
ртуть = quicksilver
рубец = hem
руда = ore
ружьё = gun
рука = hand, arm
рукавица = mitten
рукоделие = handicraft
рукопись = manuscript
рукопожатие = handshake
ручка = pen
рынок = market
рыцарство = knighthood
рыцарь = knight
ряд = row, range

саксофон = sax
самец = male
самка = female
самоанализ = introspection
самолёт = aircraft
самоцвет = gem
сапог = boot
сатисфакция = satisfaction
сборище = mob
свадьба = wedding
свекла = beet
свет = light
свист = zip
свисток = whistle
свобода = freedom
свод = vault
связь = communication
сгиб = ply
сделка = deal
сдоба = muffin
сегодня = today
сезон = season
сейф = safe
секрет = secret
секретарь = receptionist
секунда = second
секция = section
семья = family
сено = hay
сердце = heart
середина = middle
сестра = sister
сеть = net
сиденье = seat
сила = force, power
сингулярность = singularity
система = system
ситуация = situation
сказочник = storyteller
скачок = hop
скит = hermitage
склонность = inclination
скобка = parenthesis
сковорода = pan
скорость = speed, velocity
скрипка = violin
скульптура = sculpture
следопыт = pathfinder
слесарь = locksmith
словарь = dictionary, vocabulary
слово = word
сложность = complication
слон = elephant
служба = service
случай = case, occasion
слякоть = mud
смекалка = ingenuity
смесь = mix
смета = estimate
смех = laugh
смешивание = mixture
смущение = embarrassment
смысл = meaning
снаряжение = outfit, kit
снег = snow
сноровка = proficiency
снос = demolition
собрание = meeting, congregation
событие = event
сова = owl
совершенство = perfection
совет = advice
советник = counsellor
совместимость = compatibility
соглашение = agreement
содействие = assistance
содержание = content
соединение = connection
созвездие = constellation
создание = creature
созерцание = contemplation
сознание = consciousness
сойка = jay
сок = juice
сокращение = reduction
соловей = nightingale
сомнение = hesitation, doubt
сон = sleep
сообщение = message
сообщество = community
сопло = nozzle
сопоставление = juxtaposition
сорт = sort, kind
сосед = neighbor
соседство = neighborhood
состояние = state
сострадание = compassion
софт = software
сохранение = conservation
сочетание = combination
союз = union
союзник = ally
спасение = salvation
спецификация = specification
спешка = rush
спина = back
список = list
спичка = match
спокойствие = placidity, tranquility
спорт = sport
спортзал = gym
способность = ability
справочник = manual
сравнение = comparison
срок = term
срочность = urgency
стабилизация = stabilization
ставка = rate
стадия = stage
стадо = drove
стандарт = standard
старт = start
старшекурсник = undergraduate
статья = article
стекло = glass
стена = wall
степень = grade
стиль = style
стих = verse
